id,MWS,EAP,HPL
id02310,0.9389938556167771,0.053271370750434824,0.007734773632787368
id24541,0.001903589225259514,0.975231381936893,0.022865028837847648
id00134,0.012538887961052464,0.015239735674700721,0.9722213763642483
id27757,0.016931277505703186,0.48981969810089265,0.49324902439340335
id04081,0.17573756083384448,0.6449189275897427,0.17934351157641315
id27337,0.00205013739624042,0.9322391755809661,0.06571068702279317
id24265,0.007366549875775086,0.969120972914112,0.023512477210112293
id25917,0.8059805412953573,0.02203068666568193,0.17198877203896207
id04951,0.0001428514169012114,0.9955088807730097,0.004348267810088623
id14549,0.03465173021329906,0.9489341686168834,0.016414101169816953
id22505,0.9082791927316571,0.048815827232898144,0.042904980035445676
id24002,0.0059036360602497066,0.00118887360643427,0.9929074903333164
id18982,0.4984341655398309,0.1852648567544498,0.31630097770571997
id15181,0.0044663633920646725,0.029340365154500326,0.9661932714534356
id21888,0.2119253316384671,0.7549555788384139,0.03311908952311816
id12035,0.9924723116344997,0.00688522529052539,0.0006424630749741246
id17991,0.8129531094587258,0.18066787320309577,0.006379017338179028
id10707,0.000171234967759113,0.9994889065834737,0.0003398584487688276
id07101,0.2704098158870329,0.6094743659868905,0.12011581812607615
id00345,0.011933546410580137,0.5371520255560481,0.4509144280333713
id05912,0.03355521089508356,0.9394489471005357,0.026995842004380967
id13443,0.031065225274474337,0.9454395563766131,0.023495218348911752
id09248,0.7405732225407349,0.21122356814153342,0.048203209317731116
id17542,0.02783897372554968,0.06595803571660115,0.9062029905578498
id06995,0.8988035065876431,0.09962479078386616,0.0015717026284898074
id25159,0.2758820993594688,0.6912643832245979,0.03285351741593367
id25729,0.056249665675023985,0.27736193857847075,0.666388395746506
id26949,0.006438359096359059,0.9705178658437319,0.023043775059908556
id27191,0.9653753700187288,0.03338341563547947,0.0012412143457916933
id07668,0.8922383143076172,0.10668827917212122,0.0010734065202601902
id02230,0.659138738112369,0.052419524749074735,0.2884417371385571
id15553,0.0010052781998011048,0.9986989128359604,0.00029580896423791466
id25688,0.017398342500221476,0.005487065288360232,0.9771145922114176
id17545,0.010815578391191029,0.92888127433655,0.06030314727225976
id13929,0.48248039927057373,0.2974869930731992,0.22003260765622745
id12880,0.2754973809083689,0.3438700527237014,0.3806325663679291
id19282,0.13337322735931334,0.8184953765065405,0.04813139613414685
id14690,0.9912624464377014,0.006349793394266492,0.0023877601680318936
id17975,0.01648954391251085,0.07322624741361995,0.9102842086738682
id08037,0.09256040135018141,0.905259536519952,0.0021800621298684337
id15412,0.8179296358093094,0.17155450521684798,0.01051585897384247
id25032,0.29125963538055866,0.6264877101481928,0.08225265447124872
id27165,0.000491675041686775,0.9984354379182332,0.0010728870400793452
id03327,0.06090087173168117,0.8022942750233798,0.13680485324493924
id18515,0.07224269672109364,0.8765443531203805,0.05121295015852565
id21003,0.8560428674427061,0.12253091535785686,0.021426217199436572
id23855,0.11824433027416993,0.006937946063804725,0.8748177236620246
id20724,0.021994778996363377,0.9376198036499805,0.040385417353656354
id13303,0.4012138956043826,0.5205241224754101,0.0782619819202068
id16521,0.3471939583798044,0.0071735896167644695,0.6456324520034321
id20775,0.0003060590011394746,0.9985208243210665,0.0011731166777929445
id13029,0.01662230100419649,0.972197484525232,0.01118021447057176
id14660,0.03376756247759509,0.7427780705074389,0.22345436701496696
id11028,0.9788967150073986,0.020397244107255155,0.0007060408853453625
id14180,0.005837218271450797,0.9695724407313123,0.024590340997236972
id25860,0.0013839637208748522,0.9975073110410023,0.001108725238122782
id11910,0.39776221944115114,0.5939637950303147,0.008273985528533685
id08065,0.8643193841077995,0.11432204246059131,0.02135857343160871
id22674,0.9741566451697153,0.021454625557604377,0.004388729272679545
id25018,0.6713337020787542,0.31788051128639394,0.010785786634852655
id10892,0.003084755227014326,0.03970892127595737,0.9572063234970283
id10217,0.012594985721042444,0.7405750293633315,0.2468299849156246
id12996,0.641624328793326,0.2573138392924468,0.10106183191422699
id18262,0.22364981568223363,0.6336669260342773,0.1426832582834903
id08606,0.0033138269862226723,0.01601204983362582,0.9806741231801531
id17233,0.04360043485635568,0.9215516024685272,0.034847962675117396
id00101,0.02581908480223498,0.6277051912338064,0.34647572396395937
id12225,0.04059113877255807,0.8838865289846501,0.07552233224279183
id01364,0.005120319216612003,0.02214433031128337,0.9727353504721047
id24973,0.15546742109845307,0.8384111855764516,0.00612139332509625
id25363,0.4595056072151017,0.5391984676873504,0.001295925097547057
id10061,0.5316399881519766,0.43207711912295893,0.03628289272506482
id17673,0.07508972310338981,0.1962766657603523,0.7286336111362574
id13249,0.7407683740515538,0.16315077102764633,0.09608085492079943
id10107,0.9430908499552718,0.0465372202631404,0.01037192978158697
id04403,0.05731600108623132,0.9404167170577872,0.002267281855982512
id25728,0.10564012546111602,0.871052841379604,0.023307033159280757
id16184,0.8283967112054246,0.12910575219284368,0.042497536601731854
id03438,0.9616888496480024,0.03728256485830503,0.0010285854936928898
id22923,0.002487232689564687,0.030968432465842424,0.9665443348445922
id08610,0.004391568383041681,0.9907776990647655,0.0048307325521919214
id25355,0.958018507357073,0.025926052948117298,0.016055439694809125
id16916,0.037453735973841426,0.5802164105233255,0.3823298535028339
id12793,0.041045776260016514,0.05367599148471994,0.9052782322552629
id11859,0.35225897144883106,0.5878079362430451,0.05993309230812469
id02434,0.0013168152021544412,0.9981683132778884,0.0005148715199560788
id27703,0.9964236824658858,0.002502473321076641,0.001073844213037162
id25212,0.03385036365342621,0.1273832316730311,0.8387664046735441
id11308,0.8000433257404964,0.09090857256152413,0.10904810169797961
id26094,0.004983649812526032,0.9864050985499859,0.008611251637488413
id22080,0.01075460499370494,0.8060199086748754,0.18322548633141908
id03545,0.0009623148401717553,0.9889958603009222,0.010041824858905292
id23725,0.9874678344566369,0.007994831219806304,0.004537334323556364
id12009,0.09185128003293608,0.7791999045930743,0.12894881537399036
id24241,0.45596263982838214,0.1000896689960482,0.4439476911755697
id03596,0.001749222731473657,0.009909382514099403,0.9883413947544271
id10749,0.05906809126932654,0.25963542864657607,0.6812964800840966
id22794,0.9861681744991806,0.006824183138279927,0.0070076423625394565
id15482,0.16407458026612884,0.4439043764948195,0.3920210432390526
id04833,0.012794280661302247,0.9014669828989205,0.08573873643977661
id00397,0.9731984907123895,0.026745985836628017,5.552345098231931e-05
id14691,0.9261395243534758,0.01952926147654276,0.05433121416997961
id05193,0.6626589370046768,0.32884747007894644,0.00849359291637613
id19541,0.05000806884830456,0.9377926952280924,0.012199235923602158
id22166,0.995280952262834,0.0039487896270595695,0.0007702581101054442
id20744,0.9951962844303669,0.0037413868949190397,0.0010623286747131048
id10392,0.9848245653048106,0.0003730933728844648,0.014802341322305367
id00770,0.005154900448387058,0.9867813566991728,0.008063742852441963
id06018,0.011164357586181776,0.5493349781748997,0.4395006642389184
id15678,0.5816794887520055,0.4039987132517362,0.014321797996258883
id08305,0.010091918715801968,0.9355367596984003,0.054371321585797605
id08903,0.7156821555142664,0.2648382626830694,0.0194795818026636
id14752,0.006464636170676417,0.3108165612976366,0.6827188025316852
id12468,0.0061663337341193196,0.15740309931812185,0.8364305669477592
id05085,0.029736014549693265,0.7027771915982421,0.26748679385206403
id21993,0.7112478225667123,0.27461290568783786,0.014139271745450162
id15503,0.03611359367499984,0.8763070797049192,0.08757932662008139
id03021,0.01968092093881428,0.0013867302647122858,0.9789323487964734
id16123,0.0005107762660137301,0.99599067510911,0.003498548624876571
id19383,0.005987647494736652,0.9855110339557968,0.00850131854946583
id04186,0.03145656576570266,0.9683901850364176,0.000153249197879362
id17954,0.9868387779815784,0.011085539086904685,0.0020756829315175395
id12030,0.7093817161561691,0.27283512326404624,0.017783160579784418
id13020,0.007333009325402295,0.9665630824344693,0.02610390824012866
id25327,0.09728343048191122,0.005493857115053533,0.8972227124030361
id16344,0.6370896251748036,0.2740937424196971,0.08881663240549927
id12303,0.016597255253510832,0.15507976359656814,0.8283229811499201
id15017,0.00014823292806600557,0.9774484434958786,0.022403323576056355
id22308,0.5937422945037077,0.37426456109112743,0.03199314440516391
id06536,0.9492119772453339,0.004378417192799991,0.046409605561866324
id19797,0.03673424000000664,0.182767431763733,0.7804983282362609
id06332,0.09775931093995177,0.5515842465709544,0.3506564424890946
id22941,0.8675363753838297,0.047459518582498,0.08500410603367202
